ticker,title,date,size,url
ILLOVO,ILLOVO | AGM notice,02-09-2026,92.25 KB,https://www.african-markets.com/en/stock-markets/mse/publications/58584-illovo-agm-notice-3/download
FDHB,FDHB | 2ND interim dividend,01-28-2026,482.53 KB,https://www.african-markets.com/en/stock-markets/mse/publications/58380-fdhb-2nd-interim-dividend/download
SUNBIRD,SUNBIRD | Appointment of Chairman,01-21-2026,392.45 KB,https://www.african-markets.com/en/stock-markets/mse/publications/58289-sunbird-appointment-of-chairman-2/download
PCL,PCL | Trading statement,01-21-2026,62.5 KB,https://www.african-markets.com/en/stock-markets/mse/publications/58288-pcl-trading-statement-6/download
MPICO,MPICO | Trading statement,01-21-2026,76.86 KB,https://www.african-markets.com/en/stock-markets/mse/publications/58287-mpico-trading-statement-6/download
NICO,NICO | Trading statement,01-21-2026,287.4 KB,https://www.african-markets.com/en/stock-markets/mse/publications/58286-nico-trading-statement-5/download
NITL,NITL | Trading statement,01-21-2026,66.09 KB,https://www.african-markets.com/en/stock-markets/mse/publications/58285-nitl-trading-statement-9/download
TNM,TNM | Trading statement,01-21-2026,992.02 KB,https://www.african-markets.com/en/stock-markets/mse/publications/58284-tnm-trading-statement-8/download
FMBCH,FMBCH | Trading statement,01-21-2026,119.68 KB,https://www.african-markets.com/en/stock-markets/mse/publications/58283-fmbch-trading-statement-7/download
NBM,NBM | Trading statement,01-21-2026,48.35 KB,https://www.african-markets.com/en/stock-markets/mse/publications/58282-nbm-trading-statement-7/download
SUNBIRD,SUNBIRD | Trading statement,12-29-2025,397.31 KB,https://www.african-markets.com/en/stock-markets/mse/publications/58094-sunbird-trading-statement-8/download
FDHB,FDHB | Trading statement,12-23-2025,145.71 KB,https://www.african-markets.com/en/stock-markets/mse/publications/58046-fdhb-trading-statement-5/download
PCL,PCL | Interim dividend payment notice,12-16-2025,63.24 KB,https://www.african-markets.com/en/stock-markets/mse/publications/57948-pcl-interim-dividend-payment-notice-2/download
NBSMW,NBSMW | Interim dividend announcement,12-15-2025,1.55 MB,https://www.african-markets.com/en/stock-markets/mse/publications/57910-nbsmw-interim-dividend-announcement-2/download
ILLOVO,ILLOVO | Interim dividend payment notice,12-15-2025,47.49 KB,https://www.african-markets.com/en/stock-markets/mse/publications/57909-illovo-interim-dividend-payment-notice-2/download
OMU,OMU | Dealings in securities on behalf of Share Trusts,12-15-2025,67.22 KB,https://www.african-markets.com/en/stock-markets/mse/publications/57908-omu-dealings-in-securities-on-behalf-of-share-trusts-2/download
PCL,PCL | Update on cautionary statement december 2025,12-11-2025,44.72 KB,https://www.african-markets.com/en/stock-markets/mse/publications/57891-pcl-update-on-cautionary-statement-december-2025/download
NICO,NICO | Notice of interim dividend payment,12-08-2025,1.56 MB,https://www.african-markets.com/en/stock-markets/mse/publications/57785-nico-notice-of-interim-dividend-payment/download
OMU,OMU | Director dealings,11-03-2025,59.28 KB,https://www.african-markets.com/en/stock-markets/mse/publications/57115-omu-director-dealings/download
EMTL,EMTL | Communique,10-13-2025,1.05 MB,https://www.african-markets.com/en/stock-markets/mse/publications/56884-emtl-communique-2/download
FDHB,FDHB | Press Statement Completion of Transaction-Acquisition of EcoBank Mozambique,09-29-2025,975.35 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56625-fdhb-press-statement-completion-of-transaction-acquisition-of-ecobank-mozambique/download
BHL,BHL | H1 2025 revised trading statement,09-25-2025,975.35 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56496-bhl-h1-2025-revised-trading-statement/download
ICON,ICON | Interim dividend payment notice,09-22-2025,112.18 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56390-icon-interim-dividend-payment-notice/download
OMU,OMU | Finalisation and dividend currency equivalents,09-22-2025,19.48 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56389-omu-finalisation-and-dividend-currency-equivalents-2/download
PCL,PCL | Update on cautionary statement,09-22-2025,46.07 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56388-pcl-update-on-cautionary-statement-2/download
ILLOVO,ILLOVO | Interim dividend payment notice,09-22-2025,50.14 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56387-illovo-interim-dividend-payment-notice/download
STANDARD,STANDARD | Appointment of interim Chairman,09-22-2025,1.53 MB,https://www.african-markets.com/en/stock-markets/mse/publications/56386-standard-appointment-of-interim-chairman/download
PCL,PCL | Interim dividend payment notice,09-22-2025,42.3 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56385-pcl-interim-dividend-payment-notice/download
NITL,NITL | Revised trading statement,09-22-2025,121.14 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56384-nitl-revised-trading-statement-2/download
NBM,NBM | Interim dividend payment notice,09-22-2025,47.3 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56383-nbm-interim-dividend-payment-notice-2/download
TNM,TNM | Interim dividend payment notice,09-22-2025,289.43 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56382-tnm-interim-dividend-payment-notice/download
NICO,NICO | Interim dividend payment notice,09-22-2025,1.6 MB,https://www.african-markets.com/en/stock-markets/mse/publications/56381-nico-interim-dividend-payment-notice-2/download
SUNBIRD,SUNBIRD | Interim dividend payment notice,09-22-2025,384.46 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56380-sunbird-interim-dividend-payment-notice-2-2/download
NBSMW,NBSMW | Delayed payment of final dividend announcement,09-22-2025,120.18 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56379-nbsmw-delayed-payment-of-final-dividend-announcement/download
ILLOVO,ILLOVO | Trading statement,09-22-2025,51.38 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56378-illovo-trading-statement-6/download
ICON,ICON | Final dividend payment notice,09-22-2025,127.98 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56377-icon-final-dividend-payment-notice-2/download
PCL,PCL | Update on cautionary statement,09-22-2025,55.47 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56376-pcl-update-on-cautionary-statement-2/download
NBSMW,NBSMW | Interim dividend announcement,09-22-2025,45.56 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56375-nbsmw-interim-dividend-announcement-2/download
FDHB,FDHB  | Interim dividend announcement,09-22-2025,116.52 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56374-fdhb-interim-dividend-announcement/download
FDHB,FDHB | Acquisition of a controlling stake of 98.87% in Ecobank Mozambique SA,09-22-2025,172.98 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56373-fdhb-acquisition-of-a-controlling-stake-of-98-87-in-ecobank-mozambique-sa/download
ILLOVO,ILLOVO | EGM notice,09-22-2025,88.73 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56372-illovo-egm-notice/download
NBSMW,NBSMW | Final dividend announcement,09-22-2025,105.52 KB,https://www.african-markets.com/en/stock-markets/mse/publications/56371-nbsmw-final-dividend-announcement/download
ILLOVO,ILLOVO | Announcement of a related party transaction proposed loan from Sucoma Holdings Limited,07-18-2025,214.62 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55716-illovo-announcement-of-a-related-party-transaction-proposed-loan-from-sucoma-holdings-limited/download
PCL,PCL | Update on cautionary statement,07-18-2025,55.34 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55715-pcl-update-on-cautionary-statement/download
FMBCH,FMBCH | Interim dividend announcement,07-16-2025,106.23 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55673-fmbch-interim-dividend-announcement/download
SUNBIRD,SUNBIRD | Final dividend notice,07-10-2025,279.32 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55562-sunbird-final-dividend-notice/download
AIRTEL,AIRTEL | Final dividend notice,07-10-2025,71.66 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55561-airtel-final-dividend-notice-2/download
OMU,OMU | Notice of apppointment of CFO,07-10-2025,53.95 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55560-omu-notice-of-apppointment-of-cfo/download
NBM,NBM | Trading Statement,07-08-2025,50.31 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55470-nbm-trading-statement-7/download
BHL,BHL | AGM Pack,07-08-2025,1.08 MB,https://www.african-markets.com/en/stock-markets/mse/publications/55469-bhl-agm-pack/download
MPICO,MPICO | Trading Statement,07-08-2025,78.58 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55468-mpico-trading-statement-6/download
TNM,TNM | AGM notice,07-08-2025,111.45 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55467-tnm-agm-notice-2/download
STANDARD,STANDARD | Circular to shareholders,07-08-2025,725.92 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55466-standard-circular-to-shareholders/download
ICON,ICON | AGM pack,07-08-2025,619.66 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55465-icon-agm-pack/download
NITL,NITL | Trading Statement,07-08-2025,61.94 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55464-nitl-trading-statement-9/download
BHL,BHL | Trading Statement,07-08-2025,124.17 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55462-bhl-trading-statement-8/download
ICON,ICON | Trading Statement,07-03-2025,552.34 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55357-icon-trading-statement-6/download
FDHB,FDHB | Trading Statement,07-03-2025,482.8 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55356-fdhb-trading-statement-5/download
PCL,PCL | Notice of annual general meeting,07-03-2025,172.4 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55355-pcl-notice-of-annual-general-meeting/download
NITL,NITL | Notice of annual general meeting,07-03-2025,51.95 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55354-nitl-notice-of-annual-general-meeting/download
NICO,NICO | Trading statement,07-03-2025,744.41 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55353-nico-trading-statement-5/download
NBSMW,NBSMW | Trading statement,07-03-2025,107.15 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55352-nbsmw-trading-statement-10/download
NBM,NBM | AGM Notice,06-25-2025,284.13 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55057-nbm-agm-notice-3/download
NBSMW,NBSMW | AGM booklet,06-25-2025,1.86 MB,https://www.african-markets.com/en/stock-markets/mse/publications/55056-nbsmw-agm-bookled/download
NBSMW,NBSMW | AGM Notice,06-25-2025,240.42 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55055-nbsmw-agm-notice-3/download
PCL,PCL | Stakeholders Engagement,06-25-2025,106.76 KB,https://www.african-markets.com/en/stock-markets/mse/publications/55054-pcl-stakeholders-engagement/download
NITL,NITL | Stakeholders Announcement 2025,06-25-2025,1.41 MB,https://www.african-markets.com/en/stock-markets/mse/publications/55053-nitl-stakeholders-announcement-2025/download
STANDARD,STANDARD | AGM notice,06-03-2025,280.36 KB,https://www.african-markets.com/en/stock-markets/mse/publications/54628-standard-agm-notice-2/download
SUNBIRD,SUNBIRD | AGM notice,06-03-2025,331.1 KB,https://www.african-markets.com/en/stock-markets/mse/publications/54627-sunbird-agm-notice-2/download
MPICO,MPICO | AGM Notice,05-29-2025,90.17 KB,https://www.african-markets.com/en/stock-markets/mse/publications/54498-mpico-agm-notice-2/download
PCL,PCL | Update on MTL Disposal Cautionary Statement 25 may 2025,05-29-2025,34.69 KB,https://www.african-markets.com/en/stock-markets/mse/publications/54497-pcl-update-on-mtl-disposal-cautionary-statement-25-may-2025/download
